Date,Product,Brand,Price_W2,Unit
2026-03-22,Gelatina light Carrefour Classic sabor frambuesa 20 grs,Carrefour,882.57,1.0 un
2026-03-22,Salsa barbacoa Hellmanns dp 250 grs,Hellmanns,2579.0,1.0 un
2026-03-22,Garbanzo seco Carrefour Classic remojado 340 grs,Carrefour,751.06,1.0 un
2026-03-22,Fideos multicereal sin tacc Wakas fusilli kale 300 grs,Wakas,3199.0,1.0 un
2026-03-22,Fideos de arroz sin tacc Wakas fusilli con quinoa 300 grs,Wakas,3199.0,1.0 un
2026-03-22,Harina de trigo 00 Chacabuco napolitana 1 kg,Chacabuco,2299.0,1.0 un
2026-03-22,Caldo de verdura Bulnez 6 uni,Bulnez,659.0,1.0 un
2026-03-22,Fideo tallarin Bulnez en paquete 500 g.,Bulnez,839.0,1.0 un
2026-03-22,Harina de trigo Bulnez 000 1 kg,Bulnez,789.0,1.0 un
2026-03-22,Maicitos clásicos Pehuamar 265 g.,Pehuamar,5519.0,1.0 un
2026-03-22,Aceitunas negras Carrefour Classic doypack 180 grs,Carrefour,2622.6,1.0 un
2026-03-22,Polvo para hornear Carrefour Classic 50 grs,Carrefour,1002.8,1.0 un
2026-03-22,Bicarbonato de sodio Carrefour Classic 50 g.,Carrefour,687.27,1.0 un
